Percentage served,Time in ms
0,1.954
1,7.132
2,7.989
3,18.160
4,27.572
5,29.874
6,32.317
7,36.502
8,38.473
9,39.794
10,40.803
11,41.665
12,42.403
13,43.057
14,43.640
15,44.112
16,44.512
17,44.821
18,45.082
19,45.300
20,45.517
21,45.701
22,45.846
23,46.001
24,46.154
25,46.291
26,46.425
27,46.564
28,46.689
29,46.810
30,46.942
31,47.070
32,47.192
33,47.319
34,47.448
35,47.576
36,47.710
37,47.855
38,47.996
39,48.156
40,48.335
41,48.558
42,48.803
43,49.066
44,49.364
45,49.787
46,50.342
47,50.986
48,51.841
49,52.925
50,54.292
51,55.565
52,57.309
53,60.015
54,62.574
55,64.576
56,65.654
57,66.307
58,66.853
59,67.423
60,67.886
61,68.214
62,68.534
63,68.866
64,69.182
65,69.498
66,69.763
67,69.985
68,70.213
69,70.416
70,70.615
71,70.798
72,70.996
73,71.186
74,71.375
75,71.566
76,71.777
77,72.013
78,72.251
79,72.493
80,72.770
81,73.122
82,73.611
83,74.111
84,74.771
85,75.534
86,76.654
87,77.918
88,79.242
89,80.593
90,82.009
91,83.772
92,86.723
93,90.363
94,96.239
95,109.177
96,300.774
97,388.414
98,451.288
99,643.701
100,19558.790
