Percentage served,Time in ms
0,0.513
1,1.388
2,1.520
3,1.607
4,1.677
5,1.741
6,1.797
7,1.847
8,1.895
9,1.938
10,1.978
11,2.016
12,2.049
13,2.080
14,2.112
15,2.144
16,2.174
17,2.203
18,2.233
19,2.262
20,2.292
21,2.321
22,2.350
23,2.377
24,2.403
25,2.429
26,2.455
27,2.480
28,2.509
29,2.537
30,2.565
31,2.593
32,2.620
33,2.647
34,2.671
35,2.697
36,2.727
37,2.753
38,2.780
39,2.810
40,2.838
41,2.868
42,2.895
43,2.927
44,2.956
45,2.986
46,3.017
47,3.046
48,3.076
49,3.108
50,3.141
51,3.172
52,3.206
53,3.240
54,3.278
55,3.314
56,3.351
57,3.387
58,3.431
59,3.468
60,3.506
61,3.548
62,3.585
63,3.624
64,3.667
65,3.707
66,3.748
67,3.792
68,3.838
69,3.885
70,3.934
71,3.982
72,4.034
73,4.086
74,4.136
75,4.192
76,4.254
77,4.317
78,4.380
79,4.454
80,4.521
81,4.600
82,4.679
83,4.767
84,4.856
85,4.956
86,5.058
87,5.168
88,5.273
89,5.401
90,5.535
91,5.669
92,5.826
93,5.983
94,6.149
95,6.356
96,6.606
97,6.952
98,7.428
99,8.389
100,27.610
